id,view1,view2,view3,text
0,0,3,5,"A person in a black coat, dark trousers, brown shoes, holding a shopping bag."
1,1,8,4,"A person in a black coat, black trousers, white sneakers, holding a phone."
2,2,7,0,"A person with a black beanie, in a black coat, black trousers, dark sneakers."
3,3,4,0,"A person in a black coat, black trousers, black shoes."
4,4,3,0,"A person in a black coat, dark trousers, brown shoes, holding a shopping bag."
5,5,1,3,"A person in a black coat, dark gray trousers, black shoes, holding a red bottle."
6,7,0,4,"A person with a black beanie, in a black coat, black trousers, white sneakers, carrying a lavender bag."
7,8,3,5,"A person with light headwear, in a dark red coat, dark trousers, dark shoes, holding light objects."
8,9,2,8,"A person in a dark suit jacket, dark trousers, dark shoes."
9,10,3,6,A person in a light gray coat and black trousers.
10,11,5,1,"A person with a black beanie, in a white hoodie, black trousers, white sneakers, holding a pink-capped bottle."
11,12,3,0,A person in a black hoodie and black joggers.
12,13,3,7,"A person in a black coat, dark trousers, brown shoes, holding a shopping bag."
13,14,13,13,"A person in an orange top, light gray trousers, white sneakers, holding a phone."
14,15,14,17,A person in a black coat and black trousers.
15,16,13,15,"A person with dark headwear, in a maroon coat, light beige trousers, black shoes, holding a dark object."
16,17,4,0,"A person in a black coat, black trousers, black shoes."
17,18,11,15,"A person with a black beanie, in a black coat, dark trousers, holding a light phone."
18,19,13,15,"A person in an orange top, light gray trousers, white sneakers, holding a phone."
19,20,6,16,"A person with a beige jacket, black trousers, white sneakers, carrying a shoulder bag."
