id,view1,view2,view3,view1_txt,view2_txt,view3_txt
0,0,3,5,"A person in a maroon coat, light beige trousers, dark shoes, holding a bag.","A person in a black coat, dark trousers, brown shoes, holding a shopping bag.",A person in a light coat and dark trousers.
1,1,8,4,"A person in a dark coat, dark trousers, white sneakers, holding a phone.","A person in a black coat, black trousers, white sneakers, holding a phone.","A person with a dark cap, in a black coat with gray graphic, black trousers, white sneakers, holding a light garment."
2,2,7,0,"A person with a black beanie, in a black coat, black trousers, dark sneakers.","A person with a black cap, black coat, black trousers, black sneakers, carrying a tote bag.",A person in a black hoodie and black joggers.
3,3,4,0,"A person with dark headwear, in a dark coat, dark trousers, holding a light object.","A person in a black coat, black trousers, black shoes.",A person in a black hoodie and black joggers.
4,4,3,0,"A person in a dark coat, dark trousers, dark shoes, holding white shopping bags.","A person in a black coat, dark trousers, brown shoes, holding a shopping bag.",A person in a black hoodie and black joggers.
5,5,1,3,"A person with a dark beanie, in a black coat, gray trousers, dark shoes, holding a pink phone.","A person in a black coat, dark gray trousers, black shoes, holding a red bottle.",A person in a black jacket and gray trousers.
6,7,0,4,"A person with a black beanie, in a black coat, black trousers, white sneakers, carrying a lavender bag.","A person in a black coat, black trousers, black shoes, holding a phone.","A person with a dark cap, in a black coat with gray graphic, black trousers, white sneakers, holding a light garment."
7,8,3,5,"A person with light headwear, in a dark red coat, dark trousers, dark shoes, holding light objects.","A person in a black coat, dark trousers, brown shoes, holding a shopping bag.",A person in a light coat and dark trousers.
8,9,2,8,"A person in a dark suit jacket, dark trousers, dark shoes.","A person in a beige coat, olive trousers, beige boots, holding a phone.",Unclear.
9,10,3,6,"A person in a light gray top, black trousers, black boots, holding a white bag.","A person in a black coat, dark trousers, brown shoes, holding a shopping bag.",A person in a light gray coat and black trousers.
10,11,5,1,"A person in a white hoodie, black patterned trousers, light gray sneakers, holding a pink bottle.","A person in a white shirt, black trousers, black boots.","A person with a black beanie, in a white hoodie, black trousers, white sneakers, holding a pink-capped bottle."
11,12,3,0,"A person with a black beanie, in a dark hooded coat, dark trousers, black shoes, holding a yellow bottle.","A person in a black coat, dark trousers, brown shoes, holding a shopping bag.",A person in a black hoodie and black joggers.
12,13,3,7,"A person with dark headwear, in a dark coat, dark skirt, dark shoes, holding a white umbrella.","A person in a black coat, dark trousers, brown shoes, holding a shopping bag.","A person with a dark cap, in a camouflage jacket, light blue jeans, white sneakers, holding a white bag."
13,14,13,13,"A person in an orange top, light gray trousers, white sneakers, holding a light object.","A person in an orange top, light gray trousers, white sneakers, holding a phone.",A person in a peach top and light gray trousers.
14,15,14,17,"A person with a dark blue cap, in a green camouflage jacket, blue jeans, off-white sneakers, carrying a green bag.","A person in a black coat, dark trousers, dark shoes, holding a light bag.",A person in a black coat and black trousers.
15,16,13,15,"A person with dark headwear, in a maroon coat, light beige trousers, black shoes, holding a dark object.","A person in an orange top, light gray trousers, white sneakers, holding a phone.","A person with a black beanie, in a black coat, dark trousers, holding a light phone."
16,17,4,0,"A person in a black coat, black trousers, black shoes, holding a phone.","A person in a black coat, black trousers, black shoes.",A person in a black hoodie and black joggers.
17,18,11,15,"A person in a brown coat, dark trousers, dark brown shoes.","A person in a striped top, black trousers, black boots, carrying a white bag.","A person with a black beanie, in a black coat, dark trousers, holding a light phone."
18,19,13,15,"A person in a light gray top, black trousers, black boots, holding a white bag.","A person in an orange top, light gray trousers, white sneakers, holding a phone.","A person with a black beanie, in a black coat, dark trousers, holding a light phone."
19,20,6,16,"A person with a light mask, in a brown coat, black trousers, white sneakers, carrying a tan bag.","A person with a beige jacket, black trousers, white sneakers, carrying a shoulder bag.","A person in a dark coat and dark trousers, holding a light document."
